,P/E,P/B,EV/EBITDA,Revenue CAGR (5Y),EPS CAGR (5Y),ROE,P/E_Rank,P/B_Rank,EV/EBITDA_Rank,Revenue CAGR (5Y)_Rank,EPS CAGR (5Y)_Rank,ROE_Rank,Fundamental_Score
LNC,2.392362132519084,,,0.007218430629182926,0.33021500361391554,,0.9692307692307692,0.5,0.5,0.23432343234323433,0.8949579831932774,0.5,0.5076574856903919
LOW,18.823135323846486,,,-0.045601098369819404,0.0049464943359969205,,0.6461538461538461,0.5,0.5,0.0891089108910891,0.44537815126050423,0.5,0.3035800900710627
LRLCY,34.62380941907095,,,0.10435125468441253,0.13317588507892175,,0.25384615384615383,0.5,0.5,0.7013201320132013,0.6953781512605042,0.5,0.5707218138588261
LYV,35.52233832243466,,,0.5458434725995178,,,0.24615384615384617,0.5,0.5,0.976897689768977,0.5,0.5,0.5965302107133791
M,9.485357745704468,,,-0.03244684714158308,-0.2333253104336961,,0.8884615384615384,0.5,0.5,0.10561056105610561,0.09663865546218488,0.5,0.20367971331716234
MA,38.815615144943294,,,0.14256837911045106,0.16532237414843198,,0.1923076923076923,0.5,0.5,0.8514851485148515,0.7563025210084033,0.5,0.6372745823386474
MAA,29.80380530876156,,,0.07208986008159868,-0.009468886192401937,,0.34615384615384615,0.5,0.5,0.5478547854785478,0.4117647058823529,0.5,0.43174812956408765
MAN,9.417375492763611,,,-0.04848192182493005,-0.24307673294696697,,0.8923076923076922,0.5,0.5,0.0858085808580858,0.08823529411764706,0.5,0.19464118244403628
MAS,15.740143182481752,,,-0.022263112236309057,0.3153321822528141,,0.726923076923077,0.5,0.5,0.12871287128712872,0.8823529411764706,0.5,0.4611604916147724
MCD,26.707739116137663,,,0.03730430836935339,0.041657145007574226,,0.4076923076923077,0.5,0.5,0.3795379537953795,0.5,0.5,0.4077729119065753
MCK,31.680380853414263,,,0.1079905331890676,0.5230207249378935,,0.30000000000000004,0.5,0.5,0.7293729372937293,0.9453781512605042,0.5,0.6626274371134592
MDT,26.520327797511797,,,0.019104996811027286,-0.010782511350259871,,0.4115384615384615,0.5,0.5,0.2838283828382838,0.40756302521008403,0.5,0.3467534896670016
MGM,12.130066615052012,,,0.2121502368439423,-0.0027397397561019776,,0.8192307692307692,0.5,0.5,0.9108910891089109,0.4369747899159664,0.5,0.5736974363241107
MRK,13.587541128936145,,,0.09627108025433695,0.09484944490057012,,0.7884615384615384,0.5,0.5,0.6831683168316832,0.5966386554621849,0.5,0.5505526506108918
MRNA,,,,-0.43499426858071033,,,0.5,0.5,0.5,0.006600660066006601,0.5,0.5,0.28964521452145214
MSA,22.12004146445027,,,0.08896984694256749,1.3756453224005338,,0.5346153846153846,0.5,0.5,0.6435643564356436,0.9915966386554622,0.5,0.6575811695584555
MSFT,37.13634329421007,,,0.12423114652863054,0.12197439102494667,,0.22307692307692306,0.5,0.5,0.7788778877887789,0.6764705882352942,0.5,0.5887574854770544
MU,30.958846830776437,,,0.06713489726936261,-0.0068760232292961465,,0.31153846153846154,0.5,0.5,0.5247524752475248,0.42016806722689076,0.5,0.4258171250221338
NDAQ,44.851511692032226,,,0.07928751683491209,-0.06630363539297901,,0.14230769230769236,0.5,0.5,0.5874587458745875,0.3403361344537815,0.5,0.414610259183643
NEE,25.392487417218543,,,0.13189616325767117,0.23104508631579113,,0.4346153846153846,0.5,0.5,0.8316831683168316,0.8361344537815126,0.5,0.6648612400024747
NFLX,56.13547742231047,,,0.09509084302155602,0.20641109367935284,,0.09615384615384615,0.5,0.5,0.6765676567656765,0.7941176470588235,0.5,0.589511185281424
NIO,,,,0.22070181562686542,,,0.5,0.5,0.5,0.9207920792079208,0.5,0.5,0.5867574257425742
NKE,30.00716621062442,,,-0.002869856686446237,-0.1725273402717501,,0.3307692307692308,0.5,0.5,0.19471947194719472,0.15126050420168066,0.5,0.23180246660735887
NNE,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.45
NRG,28.303010474666667,,,0.013898108736443815,-0.1681649417751634,,0.36923076923076925,0.5,0.5,0.2607260726072607,0.1638655462184874,0.5,0.2586333017593938
NSRGY,24.241993102535833,,,0.015940576943978657,-0.11573900972331042,,0.4653846153846154,0.5,0.5,0.2706270627062706,0.23529411764705882,0.5,0.2882705374609859
